x_variable,y_variable,R,p_value,n_obs,spearman_r,spearman_p
aire_parc,nb_trajets,-0.116,0.10993323817559109,191,-0.072,0.3225777628167523
nombre_uni,nb_trajets,0.0855,0.239653265486234,191,0.1049,0.1485627500355385
walkscore_,nb_trajets,0.4052,6.0577691563648186e-09,191,0.5499,1.7339650448366192e-16
transitsco,nb_trajets,0.1745,0.016339751578810062,189,0.306,1.8542418537730172e-05
bikescore_,nb_trajets,0.374,9.824167339122936e-08,191,0.444,1.239911747961252e-10
longueur_m,nb_trajets,0.1877,0.009308350123177305,191,0.2522,0.0004318751154649867
densite_es,nb_trajets,0.2514,0.00045157260960550076,191,0.3231,5.147480200281001e-06
distance_c,nb_trajets,-0.5026,1.2810548680895466e-13,191,-0.5812,1.1902495259197096e-18
densite_lo,nb_trajets,0.2936,3.74412998689544e-05,191,0.4024,7.917866695480572e-09
