x_variable,y_variable,R,p_value,n_obs,spearman_r,spearman_p
aire_parc,nb_trajets,0.0576,2.562623491285623e-25,32550,0.1388,1.1672654314213971e-139
nombre_uni,nb_trajets,0.0878,1.1266808221193486e-56,32550,0.0536,3.464511547938315e-22
walkscore_,nb_trajets,0.2264,0.005332110015875787,150,0.4295,4.14355293033575e-08
transitsco,nb_trajets,-0.054,0.5131505270932262,149,0.0664,0.4211555244386461
bikescore_,nb_trajets,0.3678,3.6446039767718455e-06,150,0.4391,1.89559140845264e-08
longueur_m,nb_trajets,0.0583,0.02821873945422277,1415,0.0911,0.0006046590500730509
densite_es,nb_trajets,0.1344,4.989616157231714e-131,32550,0.1159,8.924618962498934e-98
distance_c,nb_trajets,-0.2986,0.00020586950746293635,150,-0.3378,2.3578662667995645e-05
densite_lo,nb_trajets,0.1592,1.150093801873238e-183,32550,0.1195,9.091765162881262e-104
