,aire_parc,nombre_uni,walkscore_,transitsco,bikescore_,l_m,l4s_m,p4s_m,np4s_m,densite_es,distance_c,densite_lo,nb_cegep
count,191.0,191.0,191.0,189.0,191.0,122.0,122.0,122.0,122.0,191.0,191.0,191.0,191.0
mean,16907.1797892585,0.031413612565445025,94.55104712041884,75.4241622574956,88.41797556719023,464.30051174424386,464.30051174424386,443.571894435508,20.7286173087358,9758.259576177936,4.1890431572664335,52.21945372079245,0.35602094240837695
std,23112.62542645711,0.2027640361110386,5.764396323956164,11.872328414950665,12.12172508506922,271.8020304095659,271.8020304095659,268.85269218478237,81.80006171501316,4609.9849452797525,2.330864614506883,26.36034132649106,0.9888605242405081
min,0.0,0.0,70.0,22.5,52.0,6.152071087446215,6.152071087446215,0.0,0.0,23.56814198430535,0.221013184090739,0.133975379250636,0.0
25%,2089.968616310688,0.0,93.0,68.0,81.0,294.3130067717829,294.3130067717829,280.80124003526805,0.0,6570.868886379443,2.3385154414054883,33.53089004016104,0.0
50%,7747.450806167231,0.0,96.0,75.0,93.0,432.60759172209424,432.60759172209424,419.68222430149507,0.0,9696.106403026504,4.011110978682742,52.04118498800684,0.0
75%,23874.469169895252,0.0,99.0,82.0,99.0,643.7125202145194,643.7125202145194,610.0996558148433,0.0,13031.580560724053,5.893590360111151,69.03836570606194,0.0
max,156885.21937825895,2.0,100.0,100.0,100.0,1641.8208371899327,1641.8208371899327,1641.8208371899327,436.63201109744637,35601.12977277952,10.128414108827709,214.7438374888089,6.0
