,aire_parc,nombre_uni,walkscore_,transitsco,bikescore_,l_m,l4s_m,p4s_m,np4s_m,densite_es,distance_c,densite_lo,nb_cegep
count,126.0,126.0,126.0,126.0,126.0,116.0,116.0,116.0,116.0,126.0,126.0,126.0,126.0
mean,18934.56868890256,0.015873015873015872,95.65740740740742,78.2169312169312,90.11640211640211,794.6385455517863,725.3211906800846,371.26910662260025,354.0520840574842,9898.735092270254,3.921465786024522,54.01349194974113,0.373015873015873
std,25035.05443923825,0.12548319308190936,5.437945100272735,11.22808521998435,10.039660681323843,459.61864311432987,444.09684223224906,304.404454117489,367.6945877304126,4862.796120723568,2.515881398918379,28.317280029114293,0.909805491160628
min,0.0,0.0,60.0,53.0,53.0,15.735165324212844,0.0,0.0,0.0,23.56814198430535,0.219535848728195,0.133975379250636,0.0
25%,2622.733136020416,0.0,94.0,72.0,83.0,432.75841893915833,404.3006545629738,14.037191378591075,0.0,6617.097755491455,1.7080941813613828,37.39102356997729,0.0
50%,8881.185741122448,0.0,97.0,77.0,93.0,724.2789586947276,687.1393872584385,376.8329813890696,323.3244857507087,9748.376254340033,3.627542841309753,53.813101198361295,0.0
75%,27072.49290137877,0.0,99.75,87.75,99.0,1070.0225105602578,1019.1854610736862,576.3344985284513,530.1178152833634,13081.48795281747,6.023019100059861,70.29560586095279,0.0
max,156885.21937825895,1.0,100.0,100.0,100.0,2302.260783623659,1879.9566886561208,1299.7670569128709,1825.4302587460752,35601.12977277952,9.841200873655623,214.7438374888089,4.0
