,aire_parc,nombre_uni,walkscore_,transitsco,bikescore_,l_m,l4s_m,p4s_m,np4s_m,densite_es,distance_c,densite_lo,nb_cegep
count,522.0,522.0,522.0,508.0,522.0,459.0,459.0,459.0,459.0,522.0,522.0,522.0,522.0
mean,1.369520022730576,0.01532567049808429,89.35945311074622,71.06792979002624,82.3869480934136,761.324566027001,662.9264774394236,249.44637805891062,413.4800993805129,8952.046735818285,6.026501416560817,45.54030795549577,0.18773946360153257
std,2.041615762046573,0.1376899813756928,12.770261636715226,11.539881345325208,14.199265885792334,452.3838849654021,452.56446527096995,294.12039585296145,398.94495027454093,4709.913016477914,3.4023892367003716,26.706315889445715,0.6865887365948451
min,0.0,0.0,7.0,25.5,26.0,4.055489503052082,0.0,0.0,-237.3838496174167,0.0,0.272204347844437,0.0,0.0
25%,0.0191945383929895,0.0,87.0,64.0,72.0,430.03405945121244,344.55670962926433,0.0,26.63053582932659,5413.885770084821,3.6029965563823927,25.7900150185102,0.0
50%,0.5064747487322716,0.0,94.0,71.0,83.0,706.8120502825642,592.6797986275221,151.90841024154534,363.3384895327303,8725.156052168893,5.495778602732786,43.16244890827895,0.0
75%,1.825039751656316,0.0,97.0,79.0,96.0,1025.2240008217595,934.9602963027843,433.2280150902603,643.739350628578,12221.21059726638,8.070581460028329,63.779966963478955,0.0
max,15.688521937825895,2.0,100.0,99.5,100.0,2302.260783623659,2243.258987825232,1641.820838803172,2053.934234180221,35601.12977277951,17.637912510774118,214.74383748880888,6.0
