station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
10e avenue / Masson,-73.57373356819151,45.55037651450808,Rosemont - La Petite-Patrie,48,36,84
12e avenue / St-Zotique,-73.589306473732,45.5568667309625,Rosemont - La Petite-Patrie,15,11,26
15e avenue / Laurier,-73.569328,45.5533199,Rosemont - La Petite-Patrie,1942,1731,3673
19e avenue / St-Zotique,-73.58564794063568,45.56168275734862,Rosemont - La Petite-Patrie,46,27,73
1ère  avenue / St-Zotique,-73.59392791986465,45.551937362101,Rosemont - La Petite-Patrie,22,30,52
1ère avenue / St-Zotique,-73.59366238117218,45.551916701344936,Rosemont - La Petite-Patrie,6,4,10
20e avenue / de Bellechasse,-73.5767751932144,45.55992951142522,Rosemont - La Petite-Patrie,2,3,5
26e avenue / Beaubien,-73.5774926841259,45.56485589064712,Rosemont - La Petite-Patrie,6,9,15
35e avenue / Beaubien,-73.573047,45.570081,Rosemont - La Petite-Patrie,29,24,53
3e avenue / Bannantyne,-73.5763943195343,45.4577225021236,Verdun,1,1,2
3e avenue / Wellington,-73.56723271765077,45.457304311219616,Verdun,1,1,2
41e avenue / Rosemont,-73.56431499123573,45.57178977666956,Rosemont - La Petite-Patrie,5,10,15
6e Avenue / Bélanger,-73.5963191,45.5545828,Rosemont - La Petite-Patrie,701,652,1353
6e avenue / Villeray,-73.6058904,45.5587396,Villeray - Saint-Michel - Parc-Extension,207,214,421
8e avenue / Dandurand,-73.5772217810154,45.550113551561694,Rosemont - La Petite-Patrie,60,64,124
9599 (test cyclochrome),-73.6020040512085,45.52992183768114,Inconnu,15,17,32
9e avenue / Masson,-73.57327222824097,45.54948994879926,Rosemont - La Petite-Patrie,3,8,11
Alexandre-DeSève / Ontario,-73.56060888625507,45.52438180584473,Inconnu,0,1,1
Alfred Laliberté / de Poutrincourt,-73.6945965886116,45.53308032414161,Ahuntsic-Cartierville,1,1,2
André-Laurendeau / Rachel,-73.56256484985352,45.54303187243879,Rosemont - La Petite-Patrie,46,37,83
Argyle / Bannantyne,-73.5767751932144,45.453318765468914,Inconnu,0,3,3
Aréna Chaumont (Chaumont / des Ormeaux),-73.54673445224762,45.610926628992026,Anjou,3,3,6
Atateken / du Square Amherst,-73.56390595436096,45.52063377251984,Ville-Marie,111,149,260
Atwater / Greene,-73.577827,45.480495,Le Sud-Ouest,430,799,1229
Atwater / Sherbrooke,-73.58763,45.491226,Ville-Marie,767,545,1312
Aylmer / Prince-Arthur,-73.57769787311554,45.50856686947439,Le Plateau-Mont-Royal,13,18,31
Aylmer / Ste-Catherine,-73.56894850730896,45.50434678685089,Ville-Marie,105,68,173
Aylwin / Ontario,-73.54534,45.544284,Mercier - Hochelaga-Maisonneuve,2524,3340,5864
BAnQ (Berri),-73.5629196,45.5160139,Ville-Marie,1376,2215,3591
BIXI K5,-73.60139787197113,45.53029763358792,Rosemont - La Petite-Patrie,114,117,231
Ball / Bloomfield,-73.6328709,45.529997,Villeray - Saint-Michel - Parc-Extension,566,479,1045
Basile-Routhier / Chabanel,-73.64767402410507,45.549846830745,Ahuntsic-Cartierville,35,38,73
Beaubien / 8e avenue,-73.58763143420218,45.55331997202561,Rosemont - La Petite-Patrie,2,1,3
Beaudry / Sherbrooke,-73.56539458036421,45.52303493310712,Ville-Marie,104,71,175
Bennett / Ste-Catherine,-73.532427,45.553053,Mercier - Hochelaga-Maisonneuve,1392,1551,2943
Berlioz / de l'Île des Soeurs,-73.54395568370819,45.45998577640931,Inconnu,0,1,1
Bernard / Jeanne-Mance,-73.6049484461546,45.52428310031213,Le Plateau-Mont-Royal,25,11,36
Berri / Cherrier,-73.5692971944809,45.519266156911335,Le Plateau-Mont-Royal,169,80,249
Berri / Rachel,-73.577204,45.522719,Le Plateau-Mont-Royal,4576,4190,8766
Berri / de Maisonneuve,-73.56135049208204,45.51531350570208,Ville-Marie,5,3,8
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),-73.5579303,45.6027276,Anjou,2,2,4
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),-73.6622545,45.5534001,Ahuntsic-Cartierville,494,515,1009
Bloomfield / Bernard,-73.60775470733641,45.52033819370831,Outremont,86,66,152
Bourgeoys / Favard,-73.55592101812363,45.47993042065731,Inconnu,0,10,10
Boyer / Beaubien,-73.602026,45.537041,Rosemont - La Petite-Patrie,459,385,844
Boyer / Bélanger,-73.60897,45.54006,Rosemont - La Petite-Patrie,200,174,374
