station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
Cartier / Marie-Anne,-73.57190161943436,45.53280412806031,Le Plateau-Mont-Royal,5138,4892,10030
Cartier / Masson,-73.58352363109587,45.5380207402854,Le Plateau-Mont-Royal,78,76,154
Casgrain / Maguire,-73.5957657695144,45.52621764749851,Le Plateau-Mont-Royal,45,36,81
Cathcart / McGill College,-73.57045487814501,45.501187681489775,Ville-Marie,1947,2094,4041
Chabanel / Tolhurst,-73.65388602018356,45.5399269287734,Ahuntsic-Cartierville,22,23,45
Chabanel / du Parc,-73.6548838019371,45.53830765459552,Ahuntsic-Cartierville,696,746,1442
Chabot / Beaubien,-73.59578132629395,45.54442573762501,Rosemont - La Petite-Patrie,20,24,44
Chabot / du Mont-Royal,-73.57352435588837,45.53413436610844,Le Plateau-Mont-Royal,245,233,478
Chambord / Gilford,-73.58106877662067,45.53149589691095,Le Plateau-Mont-Royal,46,44,90
Chapleau / du Mont-Royal,-73.56936,45.53867,Le Plateau-Mont-Royal,119,87,206
Chomedey / de Maisonneuve,-73.58394473791122,45.491750449903954,Ville-Marie,5,7,12
Christophe-Colomb / Beaubien,-73.60115647315979,45.53783932655299,Rosemont - La Petite-Patrie,2953,2460,5413
Christophe-Colomb / St-Joseph,-73.58439266681671,45.53036486555959,Le Plateau-Mont-Royal,95,70,165
City Councillors / du President-Kennedy,-73.57139065861702,45.50625103256782,Ville-Marie,40,69,109
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),-73.61538398272387,45.55982621051128,Villeray—Saint-Michel—Parc-Extension,21,20,41
Clark / Laurier,-73.59350547194481,45.52255032822836,Le Plateau-Mont-Royal,395,363,758
Clark / Ontario,-73.56678128242493,45.51049728732744,Ville-Marie,2104,2909,5013
Clark / Prince-Arthur,-73.57301607728004,45.513342512307055,Le Plateau-Mont-Royal,133,125,258
Clark / Rachel,-73.58241524554614,45.517537449207474,Le Plateau-Mont-Royal,253,162,415
Clark / St-Viateur,-73.59935637563467,45.5251943015533,Le Plateau-Mont-Royal,14,21,35
Clark / de l'Arcade,-73.60398352146149,45.527371996141,Le Plateau-Mont-Royal,2381,2094,4475
Collège Ahuntsic (St-Hubert / Émile-Journault),-73.64060204476118,45.55118940267553,Ahuntsic-Cartierville,338,426,764
Collège André-Grasset (Crémazie / Christophe-Colomb),-73.63216600382657,45.55098964971912,Ahuntsic-Cartierville,135,132,267
Collège de Maisonneuve (Sherbrooke / Bourbonnière),-73.55469642207026,45.55144364425768,Mercier - Hochelaga-Maisonneuve,806,709,1515
Collège de Rosemont (Beaubien / 15e avenue),-73.58380123972893,45.55774990838239,Rosemont - La Petite-Patrie,610,425,1035
Coloniale / Duluth,-73.57842743396758,45.51786873150825,Le Plateau-Mont-Royal,221,197,418
Complexe Desjardins (St-Urbain / René-Lévesque),-73.56315059590997,45.50788520688478,Ville-Marie,1397,2353,3750
Complexe sportif Claude-Robillard (Émile-Journault),-73.6383855342865,45.55358456339093,Ahuntsic-Cartierville,21,18,39
Crescent / René-Lévesque,-73.5734586417675,45.49603187552495,Ville-Marie,13,16,29
Crescent / de Maisonneuve,-73.57759594917297,45.49812041247333,Ville-Marie,38,41,79
Cyclo winter station,-73.60198259353638,45.52985495749019,Inconnu,0,30,30
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),-73.56598667800426,45.51401222645779,Ville-Marie,620,841,1461
Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),-73.56598667800426,45.51401222645779,Ville-Marie,742,1108,1850
Dandurand / D'Iberville,-73.5809513926506,45.5443716426341,Rosemont - La Petite-Patrie,27,33,60
