STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555,,,,,1733496877909,,2024-12-06 14:54:37.909,12,
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,,,,,1733498761521,,2024-12-06 15:26:01.521,12,
St-Urbain / Laurier,Le Plateau-Mont-Royal,45.52164617544124,-73.59366774559021,,,,,1733508908146,,2024-12-06 18:15:08.146,12,
Square Viger (Berri / Viger),Ville-Marie,45.5121682576952,-73.55481594800949,,,,,1733531189293,,2024-12-07 00:26:29.293,12,
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,,,,,1733490602684,,2024-12-06 13:10:02.684,12,
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,,,,,1733490602684,,2024-12-06 13:10:02.684,12,
Berri / de Maisonneuve,Ville-Marie,45.51531350570208,-73.56135049208204,,,,,1733502702534,,2024-12-06 16:31:42.534,12,
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887,,,,,1733487993753,,2024-12-06 12:26:33.753,12,
Métro Crémazie (Crémazie / Lajeunesse),Ahuntsic-Cartierville,45.54640752148169,-73.63842844963074,,,,,1733416254209,,2024-12-05 16:30:54.209,12,
Fabre / Jean-Talon,Rosemont - La Petite-Patrie,45.546634811657086,-73.60776543617249,,,,,1733410322352,,2024-12-05 14:52:02.352,12,
Fullum / Marie-Anne,Le Plateau-Mont-Royal,45.53650541861215,-73.56803923845291,,,,,1733423041079,,2024-12-05 18:24:01.079,12,
Messier / St-Joseph,Le Plateau-Mont-Royal,45.53946063965585,-73.57605636119843,,,,,1733427513653,,2024-12-05 19:38:33.653,12,
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,45.551574858642525,-73.58225226402283,,,,,1733489913021,,2024-12-06 12:58:33.021,12,
Chabanel / du Parc,Ahuntsic-Cartierville,45.53830765459552,-73.6548838019371,,,,,1733505044613,,2024-12-06 17:10:44.613,12,
Notre-Dame / St-Martin,Le Sud-Ouest,45.48830194643546,-73.56871783733366,,,,,1733412467345,,2024-12-05 15:27:47.345,12,
Atateken / du Square Amherst,Ville-Marie,45.52066599241888,-73.5639146839003,,,,,1733437991348,,2024-12-05 22:33:11.348,12,
Melrose / de Verdun,Verdun,45.45381979371188,-73.57238446649716,,,,,1733421092566,,2024-12-05 17:51:32.566,12,
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52424701428399,-73.58166217803955,,,,,1733496340859,,2024-12-06 14:45:40.859,12,
Lanaudière / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.545350334193245,-73.61032962799072,,,,,1733495496479,,2024-12-06 14:31:36.479,12,
Van Horne / Dollard,Outremont,45.51928953121951,-73.61618220806122,,,,,1733402481971,,2024-12-05 12:41:21.971,12,
des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815366,-73.56671154499054,,,,,1733410774815,,2024-12-05 14:59:34.815,12,
Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555,,,,,1733489328727,,2024-12-06 12:48:48.727,12,
Parc Beaubien Outremont (Stuart / St-Viateur),Outremont,45.51596969492228,-73.60827505588531,,,,,1733408912978,,2024-12-05 14:28:32.978,12,
Garnier / du Mont-Royal,Le Plateau-Mont-Royal,45.53075597398246,-73.5761762317452,,,,,1733413105769,,2024-12-05 15:38:25.769,12,
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,,,,,1733491652216,,2024-12-06 13:27:32.216,12,
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,,,,,1733493745795,,2024-12-06 14:02:25.795,12,
St-Urbain / Laurier,Le Plateau-Mont-Royal,45.52164617544124,-73.59366774559021,,,,,1733412844560,,2024-12-05 15:34:04.560,12,
Marché Maisonneuve (Ontario / Morgan),Mercier - Hochelaga-Maisonneuve,45.55321884238814,-73.53978216648102,,,,,1733412127242,,2024-12-05 15:22:07.242,12,
Garnier / Beaubien,Rosemont - La Petite-Patrie,45.54144823434163,-73.59839379787445,,,,,1733401622027,,2024-12-05 12:27:02.027,12,
Roy / St-André,Le Plateau-Mont-Royal,45.52161742271569,-73.57037329677041,,,,,1733492762992,,2024-12-06 13:46:02.992,12,
Métro Beaubien (de St-Vallier / Beaubien),Rosemont - La Petite-Patrie,45.53478444274838,-73.60463261604308,,,,,1733505574115,,2024-12-06 17:19:34.115,12,
Cartier / Marie-Anne,Le Plateau-Mont-Royal,45.53280412806031,-73.57190161943436,,,,,1733409442697,,2024-12-05 14:37:22.697,12,
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319051,-73.5645255446434,,,,,1733435941975,,2024-12-05 21:59:01.975,12,
Métro Crémazie (Crémazie / Lajeunesse),Ahuntsic-Cartierville,45.54640752148169,-73.63842844963074,,,,,1733417691432,,2024-12-05 16:54:51.432,12,
Wellington / Queen,Ville-Marie,45.49770377469073,-73.55534417554736,,,,,1733437166668,,2024-12-05 22:19:26.668,12,
St-Laurent / Pl. du Marché,Ville-Marie,45.50928960913111,-73.56241598725319,,,,,1733426660889,,2024-12-05 19:24:20.889,12,
Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,,,,,1733440157403,,2024-12-05 23:09:17.403,12,
Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.544290485374304,-73.54523241519928,,,,,1733675102009,,2024-12-08 16:25:02.009,12,
de Gaspé / Marmier,Rosemont - La Petite-Patrie,45.529668174024685,-73.60166944563389,,,,,1733418522384,,2024-12-05 17:08:42.384,12,
Marquette / des Carrières,Rosemont - La Petite-Patrie,45.53859456744162,-73.58865737915039,,,,,1733659591820,,2024-12-08 12:06:31.820,12,
Atwater / Greene,Le Sud-Ouest,45.48049514330605,-73.57782661914825,,,,,1733931346972,,2024-12-11 15:35:46.972,12,
Villeray / De Normanville,Villeray—Saint-Michel—Parc-Extension,45.54716675630067,-73.6184438467353,,,,,1733913567247,,2024-12-11 10:39:27.247,12,
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091,,,,,1733677619732,,2024-12-08 17:06:59.732,12,
Place du Canada (Peel / des Canadiens-de-Montréal),Ville-Marie,45.497795545133336,-73.56825113296509,,,,,1733931762989,,2024-12-11 15:42:42.989,12,
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Rosemont - La Petite-Patrie,45.539306918976,-73.59521873295307,,,,,1733926394160,,2024-12-11 14:13:14.160,12,
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,45.551574858642525,-73.58225226402283,,,,,1733923167878,,2024-12-11 13:19:27.878,12,
Square-Victoria (Viger / du Square-Victoria),Ville-Marie,45.50208503935104,-73.56294138360681,,,,,1733931509310,,2024-12-11 15:38:29.310,12,
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,,,,,1733917372374,,2024-12-11 11:42:52.374,12,
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,,,,,1733924989040,,2024-12-11 13:49:49.040,12,
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.5169290827898,-73.58911652441746,,,,,1733932144863,,2024-12-11 15:49:04.863,12,
des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815366,-73.56671154499054,,,,,1735156854333,,2024-12-25 20:00:54.333,12,
Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.50788520688478,-73.56315059590997,,,,,1735075224364,,2024-12-24 21:20:24.364,12,
des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815366,-73.56671154499054,,,,,1735156769956,,2024-12-25 19:59:29.956,12,
Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.52723106564012,-73.58672618865965,,,,,1734889708426,,2024-12-22 17:48:28.426,12,
du Mont-Royal / de Brébeuf,Le Plateau-Mont-Royal,45.529324317019466,-73.57792049646378,,,,,1735071290701,,2024-12-24 20:14:50.701,12,
de la Côte-Ste-Catherine / Davaar,Outremont,45.51416245548193,-73.61105918884276,,,,,1734890607633,,2024-12-22 18:03:27.633,12,
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,45.54131350328532,-73.5537427291274,,,,,1735144672949,,2024-12-25 16:37:52.949,12,
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,,,,,1735145821164,,2024-12-25 16:57:01.164,12,
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.55437339981968,-73.55137467384337,,,,,1735046798866,,2024-12-24 13:26:38.866,12,
du Havre / Hochelaga,Ville-Marie,45.53583977483071,-73.55793272432493,,,,,1734905794707,,2024-12-22 22:16:34.707,12,
Fullum / Marie-Anne,Le Plateau-Mont-Royal,45.53650541861215,-73.56803923845291,,,,,1735004514496,,2024-12-24 01:41:54.496,12,
Notre-Dame / St-Martin,Le Sud-Ouest,45.48830194643546,-73.56871783733366,,,,,1734742897398,,2024-12-21 01:01:37.398,12,
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,,,,,1734817164658,,2024-12-21 21:39:24.658,12,
Cathcart / McGill College,Ville-Marie,45.501187681489775,-73.57045487814501,,,,,1734810465499,,2024-12-21 19:47:45.499,12,
Masson / Molson,Rosemont - La Petite-Patrie,45.54434593245247,-73.57697686180472,,,,,1734810893753,,2024-12-21 19:54:53.753,12,
Métro Beaubien (de St-Vallier / Beaubien),Rosemont - La Petite-Patrie,45.53478444274838,-73.60463261604308,,,,,1734793493778,,2024-12-21 15:04:53.778,12,
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.53244901681983,-73.5847695171833,,,,,1734709681257,,2024-12-20 15:48:01.257,12,
des Érables / Laurier,Le Plateau-Mont-Royal,45.538514913607656,-73.57769921422005,,,,,1734712818048,,2024-12-20 16:40:18.048,12,
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52424701428399,-73.58166217803955,,,,,1734743499693,,2024-12-21 01:11:39.693,12,
Marché Jean-Talon (Casgrain / Shamrock),Rosemont - La Petite-Patrie,45.53519006163501,-73.61548215150833,,,,,1734749305427,,2024-12-21 02:48:25.427,12,
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.5169290827898,-73.58911652441746,,,,,1734731078533,,2024-12-20 21:44:38.533,12,
Square Viger (Berri / Viger),Ville-Marie,45.5121682576952,-73.55481594800949,,,,,1734734264466,,2024-12-20 22:37:44.466,12,
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.55437339981968,-73.55137467384337,,,,,1734701678053,,2024-12-20 13:34:38.053,12,
Fabre / Jean-Talon,Rosemont - La Petite-Patrie,45.546634811657086,-73.60776543617249,,,,,1734623931006,,2024-12-19 15:58:51.006,12,
Roy / Saint-Laurent,Le Plateau-Mont-Royal,45.51565182195085,-73.57577390039296,,,,,1734446427138,,2024-12-17 14:40:27.138,12,
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,,,,,1734446231296,,2024-12-17 14:37:11.296,12,
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356938,-73.58486406505108,,,,,1734454963089,,2024-12-17 17:02:43.089,12,
de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505173440423306,-73.5706517100334,,,,,1734439265810,,2024-12-17 12:41:05.810,12,
Émile-Duployé / Rachel,Le Plateau-Mont-Royal,45.52970707609694,-73.56998120721983,,,,,1734444032208,,2024-12-17 14:00:32.208,12,
Gare d'autocars de Montréal (Berri / Ontario),Ville-Marie,45.516926210319546,-73.56425732374191,,,,,1734437447914,,2024-12-17 12:10:47.914,12,
1ère avenue / St-Zotique,Rosemont - La Petite-Patrie,45.551916701344936,-73.59366238117218,,,,,1734439730875,,2024-12-17 12:48:50.875,12,
St-Urbain / Laurier,Le Plateau-Mont-Royal,45.52164617544124,-73.59366774559021,,,,,1734445200740,,2024-12-17 14:20:00.740,12,
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,,,,,1734453177360,,2024-12-17 16:32:57.360,12,
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,,,,,1734439600418,,2024-12-17 12:46:40.418,12,
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,,,,,1734440027560,,2024-12-17 12:53:47.560,12,
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,,,,,1734441338279,,2024-12-17 13:15:38.279,12,
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,,,,,1734452464570,,2024-12-17 16:21:04.570,12,
Cartier / Marie-Anne,Le Plateau-Mont-Royal,45.53280412806031,-73.57190161943436,,,,,1734444413139,,2024-12-17 14:06:53.139,12,
Collège André-Grasset (Crémazie / Christophe-Colomb),Ahuntsic-Cartierville,45.55098964971912,-73.63216600382657,,,,,1734655139844,,2024-12-20 00:38:59.844,12,
