STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,45.52027633320609,-73.59497621666378,Cyclo PBSC,,0.0,0.0,1725884462490,1725968543637.0,2024-09-09 12:21:02.490,9,8738.451997437454
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,45.52602656522141,-73.57785880565643,Cyclo PBSC,,0.0,0.0,1724369756829,1724499348690.0,2024-08-22 23:35:56.829,8,8737.278492595015
Villeneuve / du Parc,Le Plateau-Mont-Royal,45.518197623521424,-73.59239235520363,Test ECO5.1.1,,0.0,0.0,1721046837738,1721053314674.0,2024-07-15 12:33:57.738,7,8738.207466631195
Graham / Brookfield,Mont-Royal,45.52022241072457,-73.62985610961914,Test ECO5.1.1,,0.0,0.0,1721053945775,1721055221984.0,2024-07-15 14:32:25.775,7,8741.110326319855
de Brébeuf / du Mont-Royal,Le Plateau-Mont-Royal,45.52922355524467,-73.57784914976946,Cyclo PBSC,,0.0,0.0,1727484716275,1727716284101.0,2024-09-28 00:51:56.275,9,8737.350922326199
BIXI K5,Rosemont - La Petite-Patrie,45.53029763358792,-73.60139787197113,Cyclo PBSC,,0.0,0.0,1726703275000,1726929562527.0,2024-09-18 23:47:55.000,9,8739.170627957385
