STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Richmond / des Bassins,Le Sud-Ouest,45.4875216,-73.565003,1702250021111,1702250353397.0,2023-12-10 23:13:41.111,12,8740.435390077175
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Peel / Notre-Dame,Ville-Marie,45.4954469,-73.5632944,1702242273218,1702243930563.0,2023-12-10 21:04:33.218,12,8740.508856785913
Stanley / René-Lévesque,Ville-Marie,45.4979039,-73.5707757,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702257438186,1702257857567.0,2023-12-11 01:17:18.186,12,8741.13922553369
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,St-Jacques / des Seigneurs,Le Sud-Ouest,45.489186,-73.5719,1702246604216,1702247063849.0,2023-12-10 22:16:44.216,12,8741.001210467866
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Richmond / des Bassins,Le Sud-Ouest,45.4875216,-73.565003,1702248370366,1702248734864.0,2023-12-10 22:46:10.366,12,8740.435390077175
de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761,-73.551836,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702253753944,1702254424927.0,2023-12-11 00:15:53.944,12,8739.951706354594
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,BAnQ (Berri),Ville-Marie,45.5160139,-73.5629196,1702245263962,1702246278551.0,2023-12-10 21:54:23.962,12,8741.007553992935
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1702240988631,1702241453737.0,2023-12-10 20:43:08.631,12,8739.989240833682
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,BAnQ (Berri),Ville-Marie,45.5160139,-73.5629196,1702240933871,1702241890814.0,2023-12-10 20:42:13.871,12,8741.007553992935
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761,-73.551836,1701871571937,1701872285520.0,2023-12-06 14:06:11.937,12,8739.951706354594
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Ste-Catherine / Union,Ville-Marie,45.5036663,-73.5695761,1701796559315,1701797189151.0,2023-12-05 17:15:59.315,12,8741.195866552824
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Peel / Notre-Dame,Ville-Marie,45.4954469,-73.5632944,1702335954878,1702336211644.0,2023-12-11 23:05:54.878,12,8740.508856785913
Place du Canada (Peel / des Canadiens-de-Montréal),Ville-Marie,45.4978835,-73.5685676,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702341140102,1702341587285.0,2023-12-12 00:32:20.102,12,8740.971232004586
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1702333026487,1702333430498.0,2023-12-11 22:17:06.487,12,8739.989240833682
Ste-Catherine / Towers,Ville-Marie,45.4922807,-73.5809648,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702181061765,1702181709917.0,2023-12-10 04:04:21.765,12,8741.768065954418
de la Commune / King,Ville-Marie,45.497515,-73.552571,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702168073420,1702171436799.0,2023-12-10 00:27:53.420,12,8739.7485723351
