STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Richmond / des Bassins,Le Sud-Ouest,45.4875216,-73.565003,1702250021111,1702250353397.0,2023-12-10 23:13:41.111,12,8740.435390077175
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Peel / Notre-Dame,Ville-Marie,45.4954469,-73.5632944,1702242273218,1702243930563.0,2023-12-10 21:04:33.218,12,8740.508856785913
Stanley / René-Lévesque,Ville-Marie,45.4979039,-73.5707757,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702257438186,1702257857567.0,2023-12-11 01:17:18.186,12,8741.13922553369
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,St-Jacques / des Seigneurs,Le Sud-Ouest,45.489186,-73.5719,1702246604216,1702247063849.0,2023-12-10 22:16:44.216,12,8741.001210467866
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Richmond / des Bassins,Le Sud-Ouest,45.4875216,-73.565003,1702248370366,1702248734864.0,2023-12-10 22:46:10.366,12,8740.435390077175
de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761,-73.551836,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702253753944,1702254424927.0,2023-12-11 00:15:53.944,12,8739.951706354594
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,BAnQ (Berri),Ville-Marie,45.5160139,-73.5629196,1702245263962,1702246278551.0,2023-12-10 21:54:23.962,12,8741.007553992935
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1702240988631,1702241453737.0,2023-12-10 20:43:08.631,12,8739.989240833682
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,BAnQ (Berri),Ville-Marie,45.5160139,-73.5629196,1702240933871,1702241890814.0,2023-12-10 20:42:13.871,12,8741.007553992935
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Smith / Peel,Le Sud-Ouest,-1.0,-1.0,1702236360386,1702238478122.0,2023-12-10 19:26:00.386,12,0.0
Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.5078852,-73.5631506,,,,,1702256393115,,2023-12-11 00:59:53.115,12,
de Gaspé / Marmier,Rosemont - La Petite-Patrie,45.529686,-73.601728,,,,,1702225204546,1702227379000.0,2023-12-10 16:20:04.546,12,
Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.5490223,-73.5919816,,,,,1702238822874,,2023-12-10 20:07:02.874,12,
,,,,du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,1702248129000,1702248765271.0,2023-12-10 22:42:09.000,12,
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761,-73.551836,1701871571937,1701872285520.0,2023-12-06 14:06:11.937,12,8739.951706354594
Dorion / Ontario,Ville-Marie,45.526991,-73.558212,,,,,1701869056335,,2023-12-06 13:24:16.335,12,
de la Commune / King,Ville-Marie,45.497515,-73.552571,,,,,1701872087105,,2023-12-06 14:14:47.105,12,
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Ste-Catherine / Union,Ville-Marie,45.5036663,-73.5695761,1701796559315,1701797189151.0,2023-12-05 17:15:59.315,12,8741.195866552824
